Fecha_venta,Coordenadas,Piso,Tipo,M2,Valor_M2,Precio_lista,Precio_venta,Canje,Valor_canje,M2_canje,Estado_obra
31/5/2023,"-32.9350416, -60.6470425",-1,-1,2.3,1216.41,3000.00,2797.75,1,307.777,0.72,1
31/5/2023,"-32.9350416, -60.6470425",8,3,165,1632.02,288750.00,269283.71,1,75832.01,52.29,1
31/5/2023,"-32.9350416, -60.6470425",0,-2,11,1780.39,21000.00,19584.27,1,5055.46,3.48,1
31/5/2023,"-32.9521903, -60.6306774",0,-2,12.5,1440.00,19500.00,18000.00,0,,,4
6/6/2023,"-32.9592776, -60.6312559",5,2,86.5,1098.27,115000.00,95000.00,0,,,1
12/6/2023,"-32.9569221, -60.6464130",10,1,45.3,1324.50,70000.00,60000.00,0,,,4
12/6/2023,"-32.9350416, -60.6470425",5,2,123,1873.10,238000.00,230391.53,0,,,1
12/6/2023,"-32.9350416, -60.6470425",1,-2,11,1691.68,19223.00,18608.47,0,,,1
14/6/2023,"-32.9350416, -60.6470425",1,-2,11,1619.53,19500.00,17814.81,0,,,1
14/6/2023,"-32.9350416, -60.6470425",3,2,123,1660.04,223500.00,204185.19,0,,,1
14/6/2023,"-32.9430399, -60.6358630",-1,-2,11,1254.55,16740.00,13800.00,0,,,3
26/6/2023,"-32.9531147, -60.6413840",9,1,49.5,1333.33,73000.00,66000.00,0,,,4
4/7/2023,"-32.9463111, -60.6617054",5,2,76,1513.16,127000.00,115000.00,1,70000.00,48,4
21/7/2023,"-32.9350416, -60.6470425",-1,-1,2.3,1213.17,3000.00,2790.28,0,,,1
21/7/2023,"-32.9350416, -60.6470425",-1,-2,11,1412.34,19500.00,15535.69,0,,,1
21/7/2023,"-32.9350416, -60.6470425",6,3,138.5,1792.58,311625.00,248272.21,0,,,1
31/7/2023,"-32.9430399, -60.6358630",-1,-2,11,1554.77,17820.00,17102.44,1,5159.00,10.26,3
31/7/2023,"-32.9384479, -60.6414404",0,-2,11,1590.91,17500.00,17500.00,1,5697.21,4.49,2
31/7/2023,"-32.9430399, -60.6358630",3,2,79,1530.35,125970.00,120897.56,1,37051.00,73.73,3
31/7/2023,"-32.9384479, -60.6414404",6,2,87,2362.07,205500.00,205500.00,1,45059.76,35.52,2
17/8/2023,"-32.9463111, -60.6617054",-1,-2,12.5,1400.00,18500.00,17500.00,0,,,4
18/8/2023,"-32.9465263, -60.6603753",7,0,37.5,1453.33,54500.00,54500.00,0,,,4
18/8/2023,"-32.9465263, -60.6603753",5,0,37.5,1386.67,52000.00,52000.00,0,,,4
18/8/2023,"-32.9521115, -60.6306584",1,2,97,1411.59,138000.00,136923.98,0,,,4
18/8/2023,"-32.9521115, -60.6306584",3,0,36,1281.60,46500.00,46137.43,0,,,4
18/8/2023,"-32.9521115, -60.6306584",0,-2,12.5,1547.84,19500.00,19347.95,0,,,4
18/8/2023,"-32.9521115, -60.6306584",4,0,36,1446.96,52500.00,52090.64,0,,,4
18/8/2023,"-32.9463111, -60.6617054",1,1,61,1245.90,76000.00,76000.00,0,,,4
18/8/2023,"-32.9463111, -60.6617054",1,1,63,1222.22,77000.00,77000.00,0,,,4
23/8/2023,"-32.9468885, -60.6623848",9,2,90,1104.11,113000.00,99369.65,0,,,3
23/8/2023,"-32.9468885, -60.6623848",0,-2,12.5,1090.43,15500.00,13630.35,0,,,3
28/8/2023,"-32.9465263, -60.6603753",1,0,37.5,1053.33,49000.00,39500.00,0,,,4
29/8/2023,"-32.9350416, -60.6470425",2,3,146,1609.21,253750.00,234945.11,0,,,1
29/8/2023,"-32.9350416, -60.6470425",1,-2,11,1641.35,19500.00,18054.89,0,,,1
6/9/2023,"-32.9468885, -60.6623848",5,1,52,1250.00,66000.00,65000.00,0,,,3
7/9/2023,"-32.9465263, -60.6603753",10,0,39,974.36,55500.00,38000.00,0,,,4
11/9/2023,"-32.9384479, -60.6414404",0,-2,11,1209.09,17500.00,13300.00,0,,,2
14/9/2023,"-32.9521115, -60.6306584",7,2,76,1842.11,140000.00,140000.00,0,,,4
14/9/2023,"-32.9521903, -60.6306774",-1,-2,12.5,1520.00,19000.00,19000.00,0,,,4
14/9/2023,"-32.9463111, -60.6617054",10,2,77,1823.92,140000.00,140441.64,0,,,4
14/9/2023,"-32.9463111, -60.6617054",-1,-2,12.5,1484.67,18500.00,18558.36,0,,,4
20/9/2023,"-32.9406848, -60.6551035",3,1,43.79,1598.54,76900.00,70000.00,0,,,4
28/9/2023,"-32.9468885, -60.6623848",9,2,78.5,1245.22,115000.00,97750.00,0,,,3
28/9/2023,"-32.9468885, -60.6623848",2,2,76,1093.82,97800.00,83130.00,0,,,3
29/9/2023,"-32.9463111, -60.6617054",7,2,63.5,1606.30,105000.00,102000.00,1,67000.00,49,4
6/10/2023,"-32.9521903, -60.6306774",0,-2,12.5,1160.00,17000.00,14500.00,0,,,4
10/10/2023,"-32.9463111, -60.6617054",4,2,76,1500.00,124701.00,114000.00,0,,,4
30/10/2023,"-32.9592776, -60.6312559",8,1,47,1480.37,64895.00,69577.18,0,,,1
30/10/2023,"-32.9592776, -60.6312559",0,-2,12.5,1372.35,16000.00,17154.40,0,,,1
30/10/2023,"-32.9592776, -60.6312559",0,-2,12.5,1372.35,16000.00,17154.40,0,,,1
30/10/2023,"-32.9592776, -60.6312559",0,-2,12.5,1372.35,16000.00,17154.40,0,,,1
30/10/2023,"-32.9592776, -60.6312559",1,2,86.5,1196.10,96500.00,103462.49,0,,,1
30/10/2023,"-32.9592776, -60.6312559",1,2,115,1072.15,115000.00,123297.27,0,,,1
30/10/2023,"-32.9592776, -60.6312559",2,2,85.5,495.32,104000.00,42349.93,0,,,1
30/10/2023,"-32.9592776, -60.6312559",7,2,86.5,1499.77,121000.00,129730.17,0,,,1
30/10/2023,"-32.9592776, -60.6312559",7,0,37,1261.95,43550.00,46692.14,0,,,1
30/10/2023,"-32.9592776, -60.6312559",7,1,47,1458.90,63954.00,68568.29,0,,,1
30/10/2023,"-32.9592776, -60.6312559",8,2,86.5,1512.17,122000.00,130802.32,0,,,1
30/10/2023,"-32.9592776, -60.6312559",8,0,37,1289.48,44500.00,47710.68,0,,,1
30/10/2023,"-32.9592776, -60.6312559",10,22,132,1204.71,148320.00,159021.31,0,,,1
31/10/2023,"-32.9365861, -60.6488862",2,2,105,1417.05,168000.00,148790.13,0,,,1
31/10/2023,"-32.9365861, -60.6488862",-1,-2,11,1491.21,19000.00,16403.27,0,,,1
31/10/2023,"-32.9365861, -60.6488862",-1,-1,2.2,1138.03,2900.00,2503.66,0,,,1
31/10/2023,"-32.9365861, -60.6488862",-1,-2,11,1529.77,19000.00,16827.46,0,,,1
31/10/2023,"-32.9365861, -60.6488862",5,1,52.5,1284.20,76125.00,67420.53,0,,,1
31/10/2023,"-32.9365861, -60.6488862",-1,-2,11,1529.77,19000.00,16827.46,0,,,1
31/10/2023,"-32.9365861, -60.6488862",-1,-2,11,1529.77,19000.00,16827.46,0,,,1
31/10/2023,"-32.9365861, -60.6488862",5,2,110,1549.90,192500.00,170488.69,0,,,1
31/10/2023,"-32.9365861, -60.6488862",-1,-2,11,1529.77,19000.00,16827.46,0,,,1
31/10/2023,"-32.9365861, -60.6488862",4,1,55.5,1496.76,93795.00,83070.06,0,,,1
31/10/2023,"-32.9365861, -60.6488862",8,2,110,1459.03,185900.00,160493.07,0,,,1
31/10/2023,"-32.9365861, -60.6488862",4,2,110,1496.76,185900.00,164643.37,0,,,1
31/10/2023,"-32.9365861, -60.6488862",3,1,52.5,1461.33,86625.00,76719.91,0,,,1
31/10/2023,"-32.9365861, -60.6488862",5,2,106,1496.76,179140.00,158656.33,0,,,1
31/10/2023,"-32.9365861, -60.6488862",3,2,106,1461.33,174900.00,154901.15,0,,,1
1/11/2023,"-32.9430399, -60.6358630",3,2,88,1403.41,128350.00,123500.00,1,70000.00,1,3
1/11/2023,"-32.9430399, -60.6358630",-1,-2,11,1363.64,16740.00,15000.00,0,,,3
1/11/2023,"-32.9430399, -60.6358630",-1,-1,3.2,625,2900.00,2000.00,0,,,3
3/11/2023,"-32.9521903, -60.6306774",-1,-2,12.5,1240.00,19500.00,15500.00,0,,,4
8/11/2023,"-32.9521903, -60.6306774",-1,-2,12.5,1483.22,19500.00,18540.27,0,,,4
8/11/2023,"-32.9521115, -60.6306584",2,1,47.5,1399.15,69900.00,66459.73,0,,,4
9/11/2023,"-32.9430399, -60.6358630",6,2,78,1580.01,131040.00,123240.63,0,,,3
9/11/2023,"-32.9430399, -60.6358630",-1,-2,11,1523.58,17820.00,16759.37,0,,,3
9/11/2023,"-32.9463111, -60.6617054",7,1,49,1544.08,78000.00,75660.00,0,,,4
13/11/2023,"-32.9384479, -60.6414404",6,1,67.5,1303.70,115000.00,88000.00,0,,,2
30/11/2023,"-32.9365861, -60.6488862",7,3,141,1547.65,274950.00,218218.70,1,116758.42,102.41,1
30/11/2023,"-32.9365861, -60.6488862",-1,-1,2.2,1046.20,2900.00,2301.63,1,1821.76,1.59,1
30/11/2023,"-32.9365861, -60.6488862",-1,-2,11,1370.88,19000.00,15079.67,1,9108.81,7.98,1
4/12/2023,"-32.9531147, -60.6413840",3,1,49.5,1414.14,70000.00,70000.00,1,54500.00,38,4
14/12/2023,"-32.9365861, -60.6488862",6,3,141,1225.93,238290.00,172855.97,0,,,1
14/12/2023,"-32.9365861, -60.6488862",3,2,110,1196.91,181500.00,131660.41,0,,,1
14/12/2023,"-32.9365861, -60.6488862",-1,-2,11,1252.97,19000.00,13782.63,0,,,1
14/12/2023,"-32.9365861, -60.6488862",-1,-2,11,1252.97,19000.00,13782.63,0,,,1
14/12/2023,"-32.9365861, -60.6488862",-1,-2,11,1154.05,17500.00,12694.53,0,,,1
14/12/2023,"-32.9365861, -60.6488862",4,2,106,1189.66,173840.00,126103.83,0,,,1
27/12/2023,"-32.9384479, -60.6414404",0,-2,11,1802.32,17500.00,19825.51,1,6846.47,5.13,2
27/12/2023,"-32.9384479, -60.6414404",3,2,83,1723.79,126292.00,143074.49,1,51659.75,38.74,2
29/12/2023,"-32.9384479, -60.6414404",-1,-2,352,1278.41,560000.00,450000.00,0,,,2
29/12/2023,"-32.9384479, -60.6414404",-1,-2,352,1278.41,560000.00,450000.00,0,,,2
10/1/2024,"-32.9531147, -60.6413840",1,2,110.5,1058.82,135000.00,117000.00,0,,,4
